اسم الموديل,التصنيف,الموفر (Provider),الرابط المباشر
Google: Gemini 2.5 Pro,كتابة (Text),N/A,https://openrouter.ai/google/gemini-2.5-pro
OpenAI: o3 Pro,كتابة (Text),N/A,https://openrouter.ai/openai/o3-pro
xAI: Grok 3 Mini,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-3-mini
xAI: Grok 3,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-3
Google: Gemini 2.5 Pro Preview 06-05,كتابة (Text),N/A,https://openrouter.ai/google/gemini-2.5-pro-preview
DeepSeek: R1 0528,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-r1-0528
Anthropic: Claude Opus 4,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-opus-4
Anthropic: Claude Sonnet 4,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-sonnet-4
Google: Gemma 3n 4B (free),كتابة (Text),N/A,https://openrouter.ai/google/gemma-3n-e4b-it:free
Google: Gemma 3n 4B,كتابة (Text),N/A,https://openrouter.ai/google/gemma-3n-e4b-it
Mistral: Mistral Medium 3,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-medium-3
Google: Gemini 2.5 Pro Preview 05-06,كتابة (Text),N/A,https://openrouter.ai/google/gemini-2.5-pro-preview-05-06
Arcee AI: Spotlight,كتابة (Text),N/A,https://openrouter.ai/arcee-ai/spotlight
Arcee AI: Maestro Reasoning,كتابة (Text),N/A,https://openrouter.ai/arcee-ai/maestro-reasoning
Arcee AI: Virtuoso Large,كتابة (Text),N/A,https://openrouter.ai/arcee-ai/virtuoso-large
Arcee AI: Coder Large,كتابة (Text),N/A,https://openrouter.ai/arcee-ai/coder-large
Meta: Llama Guard 4 12B,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-guard-4-12b
Qwen: Qwen3 30B A3B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-30b-a3b
Qwen: Qwen3 8B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-8b
Qwen: Qwen3 14B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-14b
Qwen: Qwen3 32B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-32b
Qwen: Qwen3 235B A22B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-235b-a22b
OpenAI: o4 Mini High,كتابة (Text),N/A,https://openrouter.ai/openai/o4-mini-high
OpenAI: o3,كتابة (Text),N/A,https://openrouter.ai/openai/o3
OpenAI: o4 Mini,كتابة (Text),N/A,https://openrouter.ai/openai/o4-mini
OpenAI: GPT-4.1,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4.1
OpenAI: GPT-4.1 Mini,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4.1-mini
OpenAI: GPT-4.1 Nano,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4.1-nano
AlfredPros: CodeLLaMa 7B Instruct Solidity,كتابة (Text),N/A,https://openrouter.ai/alfredpros/codellama-7b-instruct-solidity
xAI: Grok 3 Mini Beta,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-3-mini-beta
xAI: Grok 3 Beta,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-3-beta
Meta: Llama 4 Maverick,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-4-maverick
Meta: Llama 4 Scout,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-4-scout
DeepSeek: DeepSeek V3 0324,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-chat-v3-0324
OpenAI: o1-pro,كتابة (Text),N/A,https://openrouter.ai/openai/o1-pro
Mistral: Mistral Small 3.1 24B,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-small-3.1-24b-instruct
Google: Gemma 3 4B (free),كتابة (Text),N/A,https://openrouter.ai/google/gemma-3-4b-it:free
Google: Gemma 3 4B,كتابة (Text),N/A,https://openrouter.ai/google/gemma-3-4b-it
Google: Gemma 3 12B (free),كتابة (Text),N/A,https://openrouter.ai/google/gemma-3-12b-it:free
Google: Gemma 3 12B,كتابة (Text),N/A,https://openrouter.ai/google/gemma-3-12b-it
Cohere: Command A,كتابة (Text),N/A,https://openrouter.ai/cohere/command-a
OpenAI: GPT-4o-mini Search Preview,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4o-mini-search-preview
OpenAI: GPT-4o Search Preview,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4o-search-preview
Reka Flash 3,كتابة (Text),N/A,https://openrouter.ai/rekaai/reka-flash-3
Google: Gemma 3 27B (free),كتابة (Text),N/A,https://openrouter.ai/google/gemma-3-27b-it:free
Google: Gemma 3 27B,كتابة (Text),N/A,https://openrouter.ai/google/gemma-3-27b-it
TheDrummer: Skyfall 36B V2,كتابة (Text),N/A,https://openrouter.ai/thedrummer/skyfall-36b-v2
Perplexity: Sonar Reasoning Pro,كتابة (Text),N/A,https://openrouter.ai/perplexity/sonar-reasoning-pro
Perplexity: Sonar Pro,كتابة (Text),N/A,https://openrouter.ai/perplexity/sonar-pro
Perplexity: Sonar Deep Research,كتابة (Text),N/A,https://openrouter.ai/perplexity/sonar-deep-research
Qwen: QwQ 32B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwq-32b
Google: Gemini 2.0 Flash Lite,كتابة (Text),N/A,https://openrouter.ai/google/gemini-2.0-flash-lite-001
Anthropic: Claude 3.7 Sonnet,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-3.7-sonnet
Anthropic: Claude 3.7 Sonnet (thinking),كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-3.7-sonnet:thinking
Mistral: Saba,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-saba
Llama Guard 3 8B,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-guard-3-8b
OpenAI: o3 Mini High,كتابة (Text),N/A,https://openrouter.ai/openai/o3-mini-high
Google: Gemini 2.0 Flash,كتابة (Text),N/A,https://openrouter.ai/google/gemini-2.0-flash-001
Qwen: Qwen VL Plus,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-vl-plus
AionLabs: Aion-1.0,كتابة (Text),N/A,https://openrouter.ai/aion-labs/aion-1.0
AionLabs: Aion-1.0-Mini,كتابة (Text),N/A,https://openrouter.ai/aion-labs/aion-1.0-mini
AionLabs: Aion-RP 1.0 (8B),كتابة (Text),N/A,https://openrouter.ai/aion-labs/aion-rp-llama-3.1-8b
Qwen: Qwen VL Max,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-vl-max
Qwen: Qwen-Turbo,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-turbo
Qwen: Qwen2.5 VL 72B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen2.5-vl-72b-instruct
Qwen: Qwen-Plus,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-plus
Qwen: Qwen-Max,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-max
OpenAI: o3 Mini,كتابة (Text),N/A,https://openrouter.ai/openai/o3-mini
Mistral: Mistral Small 3,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-small-24b-instruct-2501
DeepSeek: R1 Distill Qwen 32B,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-r1-distill-qwen-32b
Perplexity: Sonar,كتابة (Text),N/A,https://openrouter.ai/perplexity/sonar
DeepSeek: R1 Distill Llama 70B,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-r1-distill-llama-70b
DeepSeek: R1,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-r1
MiniMax: MiniMax-01,كتابة (Text),N/A,https://openrouter.ai/minimax/minimax-01
Microsoft: Phi 4,كتابة (Text),N/A,https://openrouter.ai/microsoft/phi-4
Sao10K: Llama 3.1 70B Hanami x1,كتابة (Text),N/A,https://openrouter.ai/sao10k/l3.1-70b-hanami-x1
DeepSeek: DeepSeek V3,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-chat
Sao10K: Llama 3.3 Euryale 70B,كتابة (Text),N/A,https://openrouter.ai/sao10k/l3.3-euryale-70b
OpenAI: o1,كتابة (Text),N/A,https://openrouter.ai/openai/o1
Cohere: Command R7B (12-2024),كتابة (Text),N/A,https://openrouter.ai/cohere/command-r7b-12-2024
Meta: Llama 3.3 70B Instruct (free),كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3.3-70b-instruct:free
Meta: Llama 3.3 70B Instruct,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3.3-70b-instruct
Amazon: Nova Lite 1.0,كتابة (Text),N/A,https://openrouter.ai/amazon/nova-lite-v1
Amazon: Nova Micro 1.0,كتابة (Text),N/A,https://openrouter.ai/amazon/nova-micro-v1
Amazon: Nova Pro 1.0,كتابة (Text),N/A,https://openrouter.ai/amazon/nova-pro-v1
OpenAI: GPT-4o (2024-11-20),كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4o-2024-11-20
Mistral Large 2411,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-large-2411
Mistral Large 2407,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-large-2407
Mistral: Pixtral Large 2411,كتابة (Text),N/A,https://openrouter.ai/mistralai/pixtral-large-2411
Qwen2.5 Coder 32B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-2.5-coder-32b-instruct
TheDrummer: UnslopNemo 12B,كتابة (Text),N/A,https://openrouter.ai/thedrummer/unslopnemo-12b
Anthropic: Claude 3.5 Haiku,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-3.5-haiku
Magnum v4 72B,كتابة (Text),N/A,https://openrouter.ai/anthracite-org/magnum-v4-72b
Qwen: Qwen2.5 7B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-2.5-7b-instruct
NVIDIA: Llama 3.1 Nemotron 70B Instruct,كتابة (Text),N/A,https://openrouter.ai/nvidia/llama-3.1-nemotron-70b-instruct
Inflection: Inflection 3 Pi,كتابة (Text),N/A,https://openrouter.ai/inflection/inflection-3-pi
Inflection: Inflection 3 Productivity,كتابة (Text),N/A,https://openrouter.ai/inflection/inflection-3-productivity
TheDrummer: Rocinante 12B,كتابة (Text),N/A,https://openrouter.ai/thedrummer/rocinante-12b
Meta: Llama 3.2 1B Instruct,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3.2-1b-instruct
Meta: Llama 3.2 11B Vision Instruct,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3.2-11b-vision-instruct
Meta: Llama 3.2 3B Instruct (free),كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3.2-3b-instruct:free
Meta: Llama 3.2 3B Instruct,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3.2-3b-instruct
Qwen2.5 72B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-2.5-72b-instruct
Cohere: Command R+ (08-2024),كتابة (Text),N/A,https://openrouter.ai/cohere/command-r-plus-08-2024
Cohere: Command R (08-2024),كتابة (Text),N/A,https://openrouter.ai/cohere/command-r-08-2024
Sao10K: Llama 3.1 Euryale 70B v2.2,كتابة (Text),N/A,https://openrouter.ai/sao10k/l3.1-euryale-70b
Nous: Hermes 3 70B Instruct,كتابة (Text),N/A,https://openrouter.ai/nousresearch/hermes-3-llama-3.1-70b
Nous: Hermes 3 405B Instruct (free),كتابة (Text),N/A,https://openrouter.ai/nousresearch/hermes-3-llama-3.1-405b:free
Nous: Hermes 3 405B Instruct,كتابة (Text),N/A,https://openrouter.ai/nousresearch/hermes-3-llama-3.1-405b
Sao10K: Llama 3 8B Lunaris,كتابة (Text),N/A,https://openrouter.ai/sao10k/l3-lunaris-8b
OpenAI: GPT-4o (2024-08-06),كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4o-2024-08-06
Meta: Llama 3.1 8B Instruct,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3.1-8b-instruct
Meta: Llama 3.1 70B Instruct,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3.1-70b-instruct
Mistral: Mistral Nemo,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-nemo
OpenAI: GPT-4o-mini,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4o-mini
OpenAI: GPT-4o-mini (2024-07-18),كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4o-mini-2024-07-18
Google: Gemma 2 27B,كتابة (Text),N/A,https://openrouter.ai/google/gemma-2-27b-it
Sao10k: Llama 3 Euryale 70B v2.1,كتابة (Text),N/A,https://openrouter.ai/sao10k/l3-euryale-70b
NousResearch: Hermes 2 Pro - Llama-3 8B,كتابة (Text),N/A,https://openrouter.ai/nousresearch/hermes-2-pro-llama-3-8b
OpenAI: GPT-4o,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4o
OpenAI: GPT-4o (2024-05-13),كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4o-2024-05-13
Meta: Llama 3 8B Instruct,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3-8b-instruct
Meta: Llama 3 70B Instruct,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3-70b-instruct
Mistral: Mixtral 8x22B Instruct,كتابة (Text),N/A,https://openrouter.ai/mistralai/mixtral-8x22b-instruct
WizardLM-2 8x22B,كتابة (Text),N/A,https://openrouter.ai/microsoft/wizardlm-2-8x22b
OpenAI: GPT-4 Turbo,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4-turbo
Anthropic: Claude 3 Haiku,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-3-haiku
Mistral Large,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-large
OpenAI: GPT-3.5 Turbo (older v0613),كتابة (Text),N/A,https://openrouter.ai/openai/gpt-3.5-turbo-0613
OpenAI: GPT-4 Turbo Preview,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4-turbo-preview
Mistral: Mixtral 8x7B Instruct,كتابة (Text),N/A,https://openrouter.ai/mistralai/mixtral-8x7b-instruct
Goliath 120B,كتابة (Text),N/A,https://openrouter.ai/alpindale/goliath-120b
OpenAI: GPT-4 Turbo (older v1106),كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4-1106-preview
OpenAI: GPT-3.5 Turbo Instruct,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-3.5-turbo-instruct
Mistral: Mistral 7B Instruct v0.1,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-7b-instruct-v0.1
OpenAI: GPT-3.5 Turbo 16k,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-3.5-turbo-16k
Mancer: Weaver (alpha),كتابة (Text),N/A,https://openrouter.ai/mancer/weaver
ReMM SLERP 13B,كتابة (Text),N/A,https://openrouter.ai/undi95/remm-slerp-l2-13b
MythoMax 13B,كتابة (Text),N/A,https://openrouter.ai/gryphe/mythomax-l2-13b
OpenAI: GPT-4,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4
OpenAI: GPT-4 (older v0314),كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4-0314
OpenAI: GPT-3.5 Turbo,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-3.5-turbo
Qwen: Qwen3.6 Plus Preview,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3.6-plus-preview
xAI: Grok 4.20 Multi-Agent Beta,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-4.20-multi-agent-beta
xAI: Grok 4.20 Beta,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-4.20-beta
Hunter Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/hunter-alpha
Healer Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/healer-alpha
Aurora Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/aurora-alpha
Pony Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/pony-alpha
Free Models Router,كتابة (Text),N/A,https://openrouter.ai/openrouter/free
AllenAI: Molmo2 8B,كتابة (Text),N/A,https://openrouter.ai/allenai/molmo-2-8b
AllenAI: Olmo 3.1 32B Think,كتابة (Text),N/A,https://openrouter.ai/allenai/olmo-3.1-32b-think
Body Builder (beta),كتابة (Text),N/A,https://openrouter.ai/openrouter/bodybuilder
TNG: R1T Chimera,كتابة (Text),N/A,https://openrouter.ai/tngtech/tng-r1t-chimera
Bert-Nebulon Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/bert-nebulon-alpha
AllenAI: Olmo 3 7B Instruct,كتابة (Text),N/A,https://openrouter.ai/allenai/olmo-3-7b-instruct
AllenAI: Olmo 3 7B Think,كتابة (Text),N/A,https://openrouter.ai/allenai/olmo-3-7b-think
Google: Gemini 3 Pro Preview,كتابة (Text),N/A,https://openrouter.ai/google/gemini-3-pro-preview
Sherlock Dash Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/sherlock-dash-alpha
Sherlock Think Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/sherlock-think-alpha
Kwaipilot: KAT-Coder-Pro V1,كتابة (Text),N/A,https://openrouter.ai/kwaipilot/kat-coder-pro
Polaris Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/polaris-alpha
Qwen: Qwen3 Embedding 0.6B,إحداثيات (Embeddings),N/A,https://openrouter.ai/qwen/qwen3-embedding-0.6b
Andromeda Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/andromeda-alpha
LiquidAI: LFM2-8B-A1B,كتابة (Text),N/A,https://openrouter.ai/liquid/lfm2-8b-a1b
LiquidAI: LFM2-2.6B,كتابة (Text),N/A,https://openrouter.ai/liquid/lfm-2.2-6b
Deep Cogito: Cogito V2 Preview Llama 405B,كتابة (Text),N/A,https://openrouter.ai/deepcogito/cogito-v2-preview-llama-405b
Google: Gemini 2.5 Flash Preview 09-2025,كتابة (Text),N/A,https://openrouter.ai/google/gemini-2.5-flash-preview-09-2025
Arcee AI: AFM 4.5B,كتابة (Text),N/A,https://openrouter.ai/arcee-ai/afm-4.5b
OpenGVLab: InternVL3 78B,كتابة (Text),N/A,https://openrouter.ai/opengvlab/internvl3-78b
Meituan: LongCat Flash Chat,كتابة (Text),N/A,https://openrouter.ai/meituan/longcat-flash-chat
Sonoma Dusk Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/sonoma-dusk-alpha
Sonoma Sky Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/sonoma-sky-alpha
ByteDance: Seed OSS 36B Instruct,كتابة (Text),N/A,https://openrouter.ai/bytedance/seed-oss-36b-instruct
Deep Cogito: Cogito V2 Preview Llama 70B,كتابة (Text),N/A,https://openrouter.ai/deepcogito/cogito-v2-preview-llama-70b
Cogito V2 Preview Llama 109B,كتابة (Text),N/A,https://openrouter.ai/deepcogito/cogito-v2-preview-llama-109b-moe
Deep Cogito: Cogito V2 Preview Deepseek 671B,كتابة (Text),N/A,https://openrouter.ai/deepcogito/cogito-v2-preview-deepseek-671b
StepFun: Step3,كتابة (Text),N/A,https://openrouter.ai/stepfun-ai/step3
Google: Gemini 2.5 Flash Image Preview (Nano Banana),صور (Image),N/A,https://openrouter.ai/google/gemini-2.5-flash-image-preview
DeepSeek: DeepSeek V3.1 Base,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-v3.1-base
AI21: Jamba Mini 1.7,كتابة (Text),N/A,https://openrouter.ai/ai21/jamba-mini-1.7
Horizon Beta,كتابة (Text),N/A,https://openrouter.ai/openrouter/horizon-beta
Horizon Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/horizon-alpha
THUDM: GLM 4.1V 9B Thinking,كتابة (Text),N/A,https://openrouter.ai/thudm/glm-4.1v-9b-thinking
Cypher Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/cypher-alpha
Inception: Mercury,كتابة (Text),N/A,https://openrouter.ai/inception/mercury
Morph: Fast Apply,كتابة (Text),N/A,https://openrouter.ai/morph/morph-v2
MoonshotAI: Kimi Dev 72B,كتابة (Text),N/A,https://openrouter.ai/moonshotai/kimi-dev-72b
Mistral: Magistral Small 2506,كتابة (Text),N/A,https://openrouter.ai/mistralai/magistral-small-2506
Mistral: Magistral Medium 2506,كتابة (Text),N/A,https://openrouter.ai/mistralai/magistral-medium-2506
SentientAGI: Dobby Mini Plus Llama 3.1 8B,كتابة (Text),N/A,https://openrouter.ai/sentientagi/dobby-mini-unhinged-plus-llama-3.1-8b
DeepSeek: R1 Distill Qwen 7B,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-r1-distill-qwen-7b
DeepSeek: DeepSeek R1 0528 Qwen3 8B,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-r1-0528-qwen3-8b
Google: Gemma 1 2B,كتابة (Text),N/A,https://openrouter.ai/google/gemma-2b-it
Sarvam AI: Sarvam-M,كتابة (Text),N/A,https://openrouter.ai/sarvamai/sarvam-m
TheDrummer: Valkyrie 49B V1,كتابة (Text),N/A,https://openrouter.ai/thedrummer/valkyrie-49b-v1
Mistral: Devstral Small 2505,كتابة (Text),N/A,https://openrouter.ai/mistralai/devstral-small-2505
OpenAI: Codex Mini,كتابة (Text),N/A,https://openrouter.ai/openai/codex-mini
Meta: Llama 3.3 8B Instruct,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3.3-8b-instruct
Nous: DeepHermes 3 Mistral 24B Preview,كتابة (Text),N/A,https://openrouter.ai/nousresearch/deephermes-3-mistral-24b-preview
Arcee AI: Caller Large,كتابة (Text),N/A,https://openrouter.ai/arcee-ai/caller-large
Arcee AI: Virtuoso Medium V2,كتابة (Text),N/A,https://openrouter.ai/arcee-ai/virtuoso-medium-v2
Arcee AI: Arcee Blitz,كتابة (Text),N/A,https://openrouter.ai/arcee-ai/arcee-blitz
Microsoft: Phi 4 Reasoning Plus,كتابة (Text),N/A,https://openrouter.ai/microsoft/phi-4-reasoning-plus
Microsoft: Phi 4 Reasoning,كتابة (Text),N/A,https://openrouter.ai/microsoft/phi-4-reasoning
Qwen: Qwen3 0.6B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-0.6b-04-28
Inception: Mercury Coder,كتابة (Text),N/A,https://openrouter.ai/inception/mercury-coder
Qwen: Qwen3 1.7B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-1.7b
Qwen: Qwen3 4B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-4b
OpenGVLab: InternVL3 14B,كتابة (Text),N/A,https://openrouter.ai/opengvlab/internvl3-14b
OpenGVLab: InternVL3 2B,كتابة (Text),N/A,https://openrouter.ai/opengvlab/internvl3-2b
DeepSeek: DeepSeek Prover V2,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-prover-v2
TNG: DeepSeek R1T Chimera,كتابة (Text),N/A,https://openrouter.ai/tngtech/deepseek-r1t-chimera
THUDM: GLM Z1 Rumination 32B,كتابة (Text),N/A,https://openrouter.ai/thudm/glm-z1-rumination-32b
THUDM: GLM Z1 9B,كتابة (Text),N/A,https://openrouter.ai/thudm/glm-z1-9b
THUDM: GLM 4 9B,كتابة (Text),N/A,https://openrouter.ai/thudm/glm-4-9b
Microsoft: MAI DS R1,كتابة (Text),N/A,https://openrouter.ai/microsoft/mai-ds-r1
THUDM: GLM Z1 32B,كتابة (Text),N/A,https://openrouter.ai/thudm/glm-z1-32b
THUDM: GLM 4 32B,كتابة (Text),N/A,https://openrouter.ai/thudm/glm-4-32b
Qwen: Qwen2.5 Coder 7B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen2.5-coder-7b-instruct
ArliAI: QwQ 32B RpR v1,كتابة (Text),N/A,https://openrouter.ai/arliai/qwq-32b-arliai-rpr-v1
Agentica: Deepcoder 14B Preview,كتابة (Text),N/A,https://openrouter.ai/agentica-org/deepcoder-14b-preview
MoonshotAI: Kimi VL A3B Thinking,كتابة (Text),N/A,https://openrouter.ai/moonshotai/kimi-vl-a3b-thinking
Optimus Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/optimus-alpha
NVIDIA: Llama 3.1 Nemotron Nano 8B v1,كتابة (Text),N/A,https://openrouter.ai/nvidia/llama-3.1-nemotron-nano-8b-v1
NVIDIA: Llama 3.3 Nemotron Super 49B v1,كتابة (Text),N/A,https://openrouter.ai/nvidia/llama-3.3-nemotron-super-49b-v1
NVIDIA: Llama 3.1 Nemotron Ultra 253B v1,كتابة (Text),N/A,https://openrouter.ai/nvidia/llama-3.1-nemotron-ultra-253b-v1
Swallow: Llama 3.1 Swallow 8B Instruct V0.3,كتابة (Text),N/A,https://openrouter.ai/tokyotech-llm/llama-3.1-swallow-8b-instruct-v0.3
Quasar Alpha,كتابة (Text),N/A,https://openrouter.ai/openrouter/quasar-alpha
OpenHands LM 32B V0.1,كتابة (Text),N/A,https://openrouter.ai/all-hands/openhands-lm-32b-v0.1
DeepSeek: DeepSeek V3 Base,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-v3-base
Typhoon2 8B Instruct,كتابة (Text),N/A,https://openrouter.ai/scb10x/llama3.1-typhoon2-8b-instruct
Typhoon2 70B Instruct,كتابة (Text),N/A,https://openrouter.ai/scb10x/llama3.1-typhoon2-70b-instruct
Bytedance: UI-TARS 72B,كتابة (Text),N/A,https://openrouter.ai/bytedance-research/ui-tars-72b
Qwen: Qwen2.5 VL 3B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen2.5-vl-3b-instruct
Google: Gemini 2.5 Pro Experimental,كتابة (Text),N/A,https://openrouter.ai/google/gemini-2.5-pro-exp-03-25
Qwen: Qwen2.5 VL 32B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen2.5-vl-32b-instruct
Qrwkv 72B,كتابة (Text),N/A,https://openrouter.ai/featherless/qwerky-72b
OlympicCoder 32B,كتابة (Text),N/A,https://openrouter.ai/open-r1/olympiccoder-32b
SteelSkull: L3.3 Electra R1 70B,كتابة (Text),N/A,https://openrouter.ai/steelskull/l3.3-electra-r1-70b
AllenAI: Olmo 2 32B Instruct,كتابة (Text),N/A,https://openrouter.ai/allenai/olmo-2-0325-32b-instruct
Google: Gemma 3 1B,كتابة (Text),N/A,https://openrouter.ai/google/gemma-3-1b-it
AI21: Jamba 1.6 Large,كتابة (Text),N/A,https://openrouter.ai/ai21/jamba-1.6-large
AI21: Jamba Mini 1.6,كتابة (Text),N/A,https://openrouter.ai/ai21/jamba-1.6-mini
LatitudeGames: Wayfarer Large 70B Llama 3.3,كتابة (Text),N/A,https://openrouter.ai/latitudegames/wayfarer-large-70b-llama-3.3
Microsoft: Phi 4 Multimodal Instruct,كتابة (Text),N/A,https://openrouter.ai/microsoft/phi-4-multimodal-instruct
DeepSeek: DeepSeek R1 Zero,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-r1-zero
Qwen: Qwen2.5 32B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen2.5-32b-instruct
MoonshotAI: Moonlight 16B A3B Instruct,كتابة (Text),N/A,https://openrouter.ai/moonshotai/moonlight-16b-a3b-instruct
Nous: DeepHermes 3 Llama 3 8B Preview,كتابة (Text),N/A,https://openrouter.ai/nousresearch/deephermes-3-llama-3-8b-preview
OpenAI: GPT-4.5 (Preview),كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4.5-preview
Perplexity: R1 1776,كتابة (Text),N/A,https://openrouter.ai/perplexity/r1-1776
Dolphin3.0 R1 Mistral 24B,كتابة (Text),N/A,https://openrouter.ai/cognitivecomputations/dolphin3.0-r1-mistral-24b
Dolphin3.0 Mistral 24B,كتابة (Text),N/A,https://openrouter.ai/cognitivecomputations/dolphin3.0-mistral-24b
